Date,Open,High,Low,Close,Adj Close,Volume
3/20/18,21.530001,21.610001,21.049999,21.08,21.08,1160600
3/21/18,21.01,21.389999,21,21.280001,21.280001,1038800
3/22/18,21.18,21.799999,21.135,21.4,21.4,1509400
3/23/18,21.49,22.450001,21.370001,22.1,22.1,1853000
3/26/18,22.32,22.76,21.77,22.68,22.68,1159300
3/27/18,22.58,22.780001,22.209999,22.33,22.33,962200
3/28/18,22.34,22.49,22.01,22.35,22.35,844800
3/29/18,22.43,22.9,22.139999,22.83,22.83,787900
4/2/18,22.940001,23,22.450001,22.76,22.76,857100
4/3/18,22.82,23.02,22.790001,23,23,958200
4/4/18,23,23.200001,22.858999,23.110001,23.110001,1484800
4/5/18,23.18,23.27,21.559999,22.129999,22.129999,1966700
4/6/18,21.969999,22.43,21.735001,22.030001,22.030001,752200
4/9/18,22.09,22.620001,22.023001,22.4,22.4,496800
4/10/18,22.35,22.9,22.200001,22.68,22.68,676700
4/11/18,22.49,22.9,22.49,22.809999,22.809999,334800
4/12/18,22.879999,23.129999,22.67,22.719999,22.719999,356300
4/13/18,22.559999,22.889999,22.049999,22.809999,22.809999,558400
4/16/18,22.639999,23.200001,22.51,23.190001,23.190001,539800
4/17/18,23.23,23.940001,23.15,23.299999,23.299999,881000
4/18/18,23.290001,24.01,22.85,23.99,23.99,498800
4/19/18,23.99,24.209999,23.559999,23.879999,23.879999,517600
4/20/18,22.879999,23.059999,22.030001,22.709999,22.709999,2791500
4/23/18,22.799999,23.120001,22.42,22.469999,22.469999,1680000
4/24/18,22.51,22.655001,22,22.219999,22.219999,849700
4/25/18,21.82,22,21.190001,21.709999,21.709999,1094600
4/26/18,21.76,22.09,21.5,21.68,21.68,802100
4/27/18,21.549999,21.84,21.49,21.68,21.68,616800
4/30/18,21.68,21.940001,21.35,21.4,21.4,795700
5/1/18,21.389999,21.639999,21.129999,21.639999,21.639999,804100
5/2/18,21.440001,22.09,21.4,22.01,22.01,1128700
5/3/18,21.25,22.110001,20.76,21.84,21.84,1241000
5/4/18,22.08,22.24,21.610001,22,22,763000
5/7/18,21.99,22.59,21.889999,22.559999,22.559999,873600
5/8/18,22.48,22.975,22.35,22.790001,22.790001,804700
5/9/18,22.790001,23.5,22.620001,23.08,23.08,871100
5/10/18,23.209999,23.58,22.860001,22.98,22.98,1303900
5/11/18,21.75,23.219999,21.549999,22.940001,22.940001,1721900
5/14/18,22.639999,22.76,21.719999,22.01,22.01,1570000
5/15/18,21.6,22,21.360001,21.459999,21.459999,1674900
5/16/18,21.58,22.26,21.575001,21.940001,21.940001,1103200
5/17/18,21.950001,22.129999,21.68,22.02,22.02,637300
5/18/18,22.110001,22.190001,21.969999,22.02,22.02,672000
5/21/18,22.07,22.176001,21.83,22,22,655700
5/22/18,22,22.370001,21.940001,22.15,22.15,696100
5/23/18,22.200001,22.469999,22.08,22.209999,22.209999,826100
5/24/18,22.280001,22.459,21.93,22.030001,22.030001,582100
5/25/18,22.030001,22.35,21.6,21.73,21.73,841000
5/29/18,21.540001,22.207001,21.5,21.969999,21.969999,772700
5/30/18,21.950001,22.855,21.950001,22.690001,22.690001,1040200
5/31/18,22.549999,22.66,21.76,22.1,22.1,3438500
6/1/18,22.01,22.200001,21.030001,21.620001,21.620001,1698600
6/4/18,21.67,22.110001,21.65,22.110001,22.110001,863900
6/5/18,22.08,22.93,21.870001,22.809999,22.809999,1056200
6/6/18,22.790001,23.33,22.74,22.969999,22.969999,770000
6/7/18,22.99,23.35,22.610001,22.870001,22.870001,558600
6/8/18,22.82,23.34,22.82,23.030001,23.030001,742000
6/11/18,23.07,23.629999,23.07,23.4,23.4,821400
6/12/18,23.41,24.07,23.34,23.719999,23.719999,1831500
6/13/18,23.73,24.004999,23.719999,23.9,23.9,905400
6/14/18,23.99,25.059999,23.93,24.639999,24.639999,1975500
6/15/18,24.25,24.620001,23.820999,24.030001,24.030001,1783200
6/18/18,22.82,23.23,22.24,22.24,22.24,1589300
6/19/18,22.110001,22.440001,21.41,22.18,22.18,1510600
6/20/18,22.389999,22.57,21.91,22.24,22.24,749700
6/21/18,22.24,22.245001,21.139999,21.25,21.25,1392200
6/22/18,21.290001,21.620001,20.941,21.6,21.6,3816200
6/25/18,21.469999,22.68,21.42,22.5,22.5,1303900
6/26/18,22.360001,23,22.360001,22.620001,22.620001,909800
6/27/18,22.530001,23.18,22.42,22.51,22.51,1000600
6/28/18,22.549999,23.07,22.450001,23.02,23.02,923200
6/29/18,23,23.139999,22.48,23.09,23.09,1159000
7/2/18,22.959999,23.17,22.605,23.139999,23.139999,571200
7/3/18,23.190001,23.775,23,23.68,23.68,512000
7/5/18,23.629999,23.68,22.879999,22.959999,22.959999,600500
7/6/18,23.059999,23.299999,22.790001,22.98,22.98,490200
7/9/18,23.02,23.183001,22.35,22.809999,22.809999,700200
7/10/18,23.02,23.969999,22.84,23.790001,23.790001,1267500
7/11/18,23.860001,24.049999,23.32,23.540001,23.540001,969400
7/12/18,23.6,23.65,23.216999,23.620001,23.620001,368800
7/13/18,23.6,23.799999,23.379999,23.52,23.52,354800
7/16/18,24,24.415001,23.68,23.99,23.99,1151400
7/17/18,22.65,23.764999,22.389999,23.4,23.4,2589600
7/18/18,23.370001,24.07,22.290001,24,24,3178500
7/19/18,24.790001,25,24.35,24.780001,24.780001,6792400
7/20/18,24.65,25.139999,24.4,24.530001,24.530001,1673800
7/23/18,24.469999,24.969999,24,24.639999,24.639999,1062300
7/24/18,24.77,25.129999,24.556,24.92,24.92,1542400
7/25/18,25.01,25.775,24.690001,25.68,25.68,1714500
7/26/18,25.030001,26.01,25.030001,25.370001,25.370001,1488400
7/27/18,25.42,25.59,24.35,24.75,24.75,1030500
7/30/18,24.65,24.799999,24.195999,24.26,24.26,950300
7/31/18,24.33,24.65,24.129999,24.5,24.5,430900
8/1/18,24.42,24.709999,24.15,24.67,24.67,553600
8/2/18,24.51,24.790001,23.68,24.02,24.02,896500
8/3/18,23.959999,24.370001,23.25,23.540001,23.540001,651500
8/6/18,23.51,23.73,23.01,23.24,23.24,781300
8/7/18,22.43,22.65,21.9,22.389999,22.389999,3101500
8/8/18,22.440001,22.77,21.82,22.67,22.67,1031000
8/9/18,22.6,23.35,22.25,23.139999,23.139999,1869300
8/10/18,19.24,20,17.735001,17.959999,17.959999,11399700
8/13/18,18.290001,18.540001,17.799999,18.475,18.475,3919200
8/14/18,18.290001,18.459999,17.540001,18.17,18.17,2407600
8/15/18,18.110001,18.200001,17.440001,17.860001,17.860001,1423500
8/16/18,17.940001,17.99,17.25,17.32,17.32,2363100
8/17/18,17.370001,17.370001,16.691,17.190001,17.190001,2169900
8/20/18,17.190001,18.440001,17.190001,18.07,18.07,3160600
8/21/18,18,18.879999,18,18.85,18.85,2187300
8/22/18,18.799999,19.27,18.799999,19.209999,19.209999,1314200
8/23/18,19.110001,19.610001,19.110001,19.469999,19.469999,1816200
8/24/18,19.43,19.959999,19.184999,19.719999,19.719999,3747900
8/27/18,19.530001,19.809999,19.07,19.709999,19.709999,846500
8/28/18,19.65,19.959999,19.635,19.92,19.92,945300
8/29/18,19.940001,20.27,19.690001,19.700001,19.700001,813900
8/30/18,19.52,20.08,19.52,19.82,19.82,604500
8/31/18,19.719999,20.049999,19.610001,19.809999,19.809999,712500
9/4/18,19.83,20.280001,19.65,19.809999,19.809999,1258100
9/5/18,19.719999,19.940001,19.6,19.93,19.93,727000
9/6/18,19.83,19.915001,19.545,19.719999,19.719999,736200
9/7/18,19.700001,19.879999,19.57,19.73,19.73,974800
9/10/18,19.700001,20.059999,19.67,19.809999,19.809999,781800
9/11/18,19.809999,19.98,19.610001,19.93,19.93,664500
9/12/18,19.969999,19.99,19.65,19.780001,19.780001,610000
9/13/18,19.950001,19.99,18.68,18.77,18.77,926600
9/14/18,18.77,19.799999,18.51,19.299999,19.299999,1527400
9/17/18,19.360001,19.690001,18.32,19.209999,19.209999,957400
9/18/18,19.1,19.495001,18.85,19.379999,19.379999,695100
9/19/18,19.4,19.559999,19.030001,19.059999,19.059999,665500
9/20/18,19.139999,19.32,18.547001,18.629999,18.629999,857000
9/21/18,18.57,18.677,17.855,17.91,17.91,1815000
9/24/18,18.01,18.27,17.559999,18.25,18.25,1111000
9/25/18,18.299999,18.65,18.129,18.43,18.43,1475000
9/26/18,18.48,18.67,18.35,18.43,18.43,568200
9/27/18,18.43,18.75,18,18.08,18.08,700100
9/28/18,18.16,18.700001,17.9,18.700001,18.700001,704300
10/1/18,18.559999,19.049999,18.01,18.110001,18.110001,815200
10/2/18,18.1,18.4,17.469999,17.530001,17.530001,652000
10/3/18,17.620001,17.93,17.25,17.360001,17.360001,944400
10/4/18,17.389999,17.440001,16.975,17.08,17.08,840600
10/5/18,17.08,17.128,16.389999,16.620001,16.620001,933600
10/8/18,16.6,16.780001,16.375,16.459999,16.459999,663600
10/9/18,16.4,16.979,16.200001,16.209999,16.209999,534700
10/10/18,16.25,16.27,15.23,15.44,15.44,1394400
10/11/18,15.4,16.34,15.391,15.97,15.97,791800
10/12/18,16.139999,16.364,15.47,15.66,15.66,793900
10/15/18,15.66,16.35,15.43,16.110001,16.110001,808300
10/16/18,16.23,17.17,16.15,17.08,17.08,789800
10/17/18,17.09,17.365,16.67,17.17,17.17,444600
10/18/18,16.9,17.129999,16.1,16.48,16.48,841800
10/19/18,16.219999,16.73,15.37,15.42,15.42,1220400
10/22/18,15.3,16,15.3,15.97,15.97,597000
10/23/18,15.67,16.85,15.428,16.440001,16.440001,1568200
10/24/18,16.549999,17.08,16.110001,16.129999,16.129999,952800
10/25/18,16.200001,16.879999,16.01,16.83,16.83,562300
10/26/18,16.440001,16.65,15.56,15.72,15.72,1414400
10/29/18,15.78,15.782,14.46,14.79,14.79,1989700
10/30/18,14.77,15.84,14.66,15.46,15.46,888600
10/31/18,15.76,15.76,15.15,15.45,15.45,689900
11/1/18,15.53,16.24,15.53,16.23,16.23,724300
11/2/18,16.15,16.219999,15.09,16.02,16.02,1556900
11/5/18,16.040001,16.200001,15.365,16.07,16.07,1320600
